logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,dir
0.00403686769130548,7.5553216881034,19.4650019924779,7.93523457991542e-79,9.71272712581647e-75,165.994536079826,NAP1L2,up
0.00361304198799165,7.76150220948675,16.6772302371124,2.27984288772223e-59,1.395263847286e-55,121.309094796252,NEFL,up
-0.0102223420242912,7.58770284982683,-14.835367625139,7.82058014788796e-48,3.19079670033829e-44,94.8436249746485,TXLNGY,down
0.00255030909051036,7.32832078794523,14.386755721228,3.41616379730074e-45,1.04534612197403e-41,88.7898494382437,SEPTIN10,up
0.00463967786231157,7.9301355460007,13.8377807938433,4.69234698491651e-42,1.14868654190756e-38,81.5976367121374,CHN1,up
0.00258784651841381,7.62052467815852,13.6589273465847,4.69107089854657e-41,9.569784633035e-38,79.3064252889044,STXBP1,up
-0.00242426573738664,6.80053045792031,-13.4481941712386,6.84074112463404e-40,1.19615244807887e-36,76.639924713187,UPK3A,down
0.0028988146461166,7.4280657374002,13.2993852224043,4.44209142387166e-39,6.79639987852364e-36,74.7786756746091,GNAO1,up
0.00292291494815973,7.39523207982641,12.6086713271287,2.07202865030119e-35,2.81795896440962e-32,66.3771441995514,RNASE1,up
0.00366167435747938,8.45195596074105,12.5740126970703,3.13336207309147e-35,3.83523517746396e-32,65.9659664087383,SPIRE1,up
0.00288511511276609,7.82137880402498,12.5109178920487,6.63568927294834e-35,7.38371242735343e-32,65.2200015142631,BEX1,up
0.00270262042966538,7.53117502766453,12.4161290439926,2.03594410442976e-34,2.05479975114266e-31,64.1055671225479,DST,up
0.0024990552879981,7.56931163626826,12.4102354137755,2.18238535660577e-34,2.05479975114266e-31,64.0365236615688,SGCB,up
-0.00722423819890796,7.27626986033682,-12.1637999433087,3.88184783666712e-33,3.13425712369846e-30,61.1756311652938,ZFY,down
0.00305482780456681,8.24009555047707,12.1591384513626,4.09706813555355e-33,3.13425712369846e-30,61.1220075993156,NAP1L3,up
0.00242359535604363,7.33529878048142,12.1635349640694,3.89377495066195e-33,3.13425712369846e-30,61.1725824803566,SLC14A1,up
0.00248960502124774,7.73591419374519,12.0059449939571,2.38905873618092e-32,1.72012229005026e-29,59.3699495216608,BMPR1A,up
0.00223994531105078,7.53564283752869,11.8921423544376,8.74070121271921e-32,5.94367682464906e-29,58.0812561313447,SAMD12,up
0.002713366301898,7.39423967575144,11.5950959828413,2.45230475168287e-30,1.57980053476833e-27,54.7694258325218,LDOC1,up
0.00299702241525175,7.17136667225139,11.508782708439,6.37157539230269e-30,3.89940414008924e-27,53.8212372017972,C1QC,up
0.00325876104162582,8.8439837176572,11.4194407990438,1.70048430652358e-29,9.91139424373741e-27,52.8465101600215,PARP3,up
0.00184208601148278,7.15695932564819,11.1402197402197,3.49866955203602e-28,1.9465325144055e-25,49.8445121653017,SMAD1,up
0.0022590204610718,7.65367463252514,11.0828943404763,6.45577349586331e-28,3.41707329491386e-25,49.2365281801892,TF,up
-0.0020437040730183,6.69950299433701,-11.0794089998134,6.70014371551737e-28,3.41707329491386e-25,49.1996551103855,AGRP,down
0.00281817378513486,6.92648995610175,11.0623663117332,8.0337841821159e-28,3.93334073556394e-25,49.0195042269997,CFH,up
0.00257858128076979,7.62785210462018,11.0096217081529,1.40675626800634e-27,6.62257566169138e-25,48.4635618240315,ATP1A3,up
0.00281552791830686,7.74964115786954,10.9954352841512,1.63485850790633e-27,7.41135856917537e-25,48.3144455778321,TRIM2,up
0.00245476375407534,7.67605775649974,10.9636477477071,2.28790522764755e-27,1.00014142808593e-24,47.9809560521966,SELENOP,up
0.0018139669871699,7.32859769251341,10.9296516098211,3.27430137167503e-27,1.38198099273457e-24,47.6252686789775,ERI2,up
0.00235601124940836,10.814539545623,10.8959555993633,4.66657010791755e-27,1.90396060403036e-24,47.273714674538,SIK3,up
0.00219002735350167,7.68065891171065,10.819160987685,1.04256760097696e-26,4.11646046321225e-24,46.476207829015,RGS5,up
0.00186882244844986,7.15425349402415,10.7988938561747,1.28786096357888e-26,4.92606818568923e-24,46.2665936318006,ZNF208,up
0.00216085444086084,7.46879667085335,10.7121336119922,3.16923036397782e-26,1.1754963531845e-23,45.3733289163937,KALRN,up
0.00235646727451699,7.47421633032597,10.5863915448387,1.15537977688905e-25,4.15936719680058e-23,44.0904185320631,DNAJC6,up
0.00282125666552047,8.15786300744058,10.5777398106965,1.26228777006406e-25,4.41440065873833e-23,44.0026575294312,PLEKHB1,up
0.0020923948981773,7.35320632969866,10.5123819676828,2.45801237611324e-25,8.35724207878503e-23,43.3418099107961,KCNA2,up
0.0019830033180519,7.67011309045209,10.4829291835439,3.31499379470129e-25,1.09663578505794e-22,43.045234538653,PLPP1,up
