gene,kME
AZIN2,0.916
MLH3,0.916
ZNF675,0.916
AMN1,0.916
URGCP,0.915
KLKB1,0.915
ATG2B,0.915
ENOPH1,0.915
RWDD2A,0.915
MTMR2,0.914
ABCE1,0.914
IKZF4,0.913
LRFN3,0.913
TDRD3,0.913
DGKH,0.913
EPM2AIP1,0.913
AXIN2,0.913
TMSB15B,0.912
INTS4P1,0.912
EEIG1,0.912
CEP44,0.912
ACACB,0.912
TRDMT1,0.912
RADX,0.911
UBA5,0.911
SIRT5,0.911
MIB1,0.911
ANKRD46,0.911
EIF2B3,0.911
NDFIP2,0.911
ZNF235,0.911
FBXL16,0.91
LRRN3,0.91
DTX3,0.91
ELP2,0.909
ZBTB4,0.909
EPHB6,0.909
LNPK,0.909
MATR3,0.909
CFAP44,0.909
MSMO1,0.908
DET1,0.908
CDK20,0.908
KAT6B,0.908
AKAP11,0.907
EFNA1,0.907
EDAR,0.906
YLPM1,0.906
EXOC2,0.906
CDRT4,0.906
ZNF337,0.906
CDR2,0.906
SPATS2,0.906
PDP2,0.906
USP44,0.905
LAPTM4B,0.905
PPT2,0.905
HERC4,0.905
MMP28,0.904
ITGA6,0.904
TBC1D19,0.904
PRRC2B,0.904
TMEM116,0.904
SESN1,0.904
EIF4A2,0.904
PRIMPOL,0.904
CD59,0.903
PRKCZ,0.903
ANKRD28,0.903
ZC3H6,0.903
TPD52,0.902
ZNF343,0.902
RAD54B,0.901
DCLRE1A,0.901
MLLT3,0.901
HCFC2,0.901
GLS2,0.901
NAP1L5,0.901
SPTBN1,0.901
TNRC6C,0.9
SSBP3,0.9
OXNAD1,0.899
MYO1D,0.899
PTPN13,0.899
GMPS,0.899
ZBTB20,0.899
ARMCX2,0.898
G3BP1,0.898
MSANTD2,0.898
RGMB,0.897
TOMM20,0.897
ZC3H13,0.897
TXLNG,0.896
MBNL2,0.896
ATP8A1,0.896
SDHAF3,0.896
PAQR8,0.896
SPART,0.895
IARS2,0.895
CDC14B,0.895
INTS13,0.895
TULP3,0.894
PLPP6,0.894
ANKRD55,0.894
ZKSCAN1,0.893
TNRC6A,0.893
ZNF614,0.892
KLHDC1,0.892
HSPB1,0.892
CSTF2T,0.892
UTP25,0.892
HSPH1,0.892
MFHAS1,0.891
WDR7,0.891
GARS1,0.891
IFT88,0.891
RAB6A,0.89
ZC3H14,0.89
ZNF567,0.89
PLCG1,0.89
RIOX2,0.889
ZNF565,0.889
GPR19,0.889
ZNF573,0.889
WDR19,0.889
UTP20,0.889
ANKRD13C,0.889
SNUPN,0.889
KIF21A,0.888
TERF2,0.888
ZNF561,0.888
ZNF175,0.888
TRUB2,0.888
RRM1,0.888
ARHGAP12,0.888
ZNF568,0.888
EHMT2,0.887
