gene,kME
CDC42EP1,-0.676
ZNF34,-0.678
MYF5,-0.679
DRC7,-0.68
SAFB,-0.681
FBXL18,-0.681
PFDN2,-0.681
PARVB,-0.682
ITPK1,-0.684
GDE1,-0.684
NDUFB2,-0.685
GPR34,-0.685
PPP1R12C,-0.686
WDR45B,-0.687
LRFN4,-0.688
ZNF526,-0.691
GNB1,-0.693
USP15,-0.693
SCAP,-0.695
PBRM1,-0.696
MMP26,-0.696
UBXN7,-0.698
SLC2A5,-0.699
MISP,-0.699
SPEN,-0.7
ANKFY1,-0.7
BPIFB1,-0.701
DIO3,-0.707
CCDC51,-0.707
WASH3P,-0.709
UVSSA,-0.713
PRDX3,-0.714
IL17RA,-0.714
ALOXE3,-0.715
NPR1,-0.715
DGKQ,-0.716
GPR173,-0.716
PHTF1,-0.718
COL25A1,-0.719
SLC25A44,-0.721
PARP3,-0.723
AQP2,-0.723
CCDC124,-0.724
GMPR,-0.725
NPHP4,-0.726
GGCX,-0.726
ABCG8,-0.726
NCOA6,-0.727
EGFLAM,-0.727
EPS8L3,-0.727
KANK2,-0.727
CXCL13,-0.728
EIF4G3,-0.73
HAPLN2,-0.73
FSTL3,-0.73
CAPN3,-0.731
CYP4F3,-0.731
SLC25A24,-0.731
CHST3,-0.731
GGT1,-0.732
SPINT1,-0.732
THBS3,-0.732
ACTR1A,-0.734
CARM1,-0.734
BABAM2,-0.735
FBLIM1,-0.735
ABL1,-0.736
LRRFIP2,-0.736
PLBD2,-0.737
LTO1,-0.737
CTHRC1,-0.737
NCOR2,-0.739
LDHD,-0.741
MAP3K11,-0.741
GSK3B,-0.741
STAG3,-0.742
CLCN5,-0.742
VHL,-0.743
ERLIN1,-0.743
ROGDI,-0.743
MYOD1,-0.743
HIPK3,-0.744
NCOA1,-0.746
COL16A1,-0.746
DEPDC5,-0.746
PITPNA,-0.747
NFIC,-0.748
PROSER2,-0.748
CREBBP,-0.749
DUSP3,-0.749
TRIP6,-0.75
ST6GALNAC3,-0.75
EPB41L3,-0.751
ACSS2,-0.751
HAGH,-0.751
TGM2,-0.752
MTMR10,-0.752
AGTPBP1,-0.752
IFITM3,-0.752
ITPRID2,-0.753
C1orf54,-0.754
TTTY14,-0.755
GPCPD1,-0.755
POC1A,-0.755
GOLM1,-0.756
NEK3,-0.756
CPEB2,-0.757
SLC36A1,-0.757
ACTR2,-0.757
METTL9,-0.757
LRIT1,-0.757
FBN3,-0.757
SCYL1,-0.758
PTGES2,-0.758
MEMO1,-0.758
CIMIP4,-0.759
PANX2,-0.759
BICD2,-0.759
DYDC2,-0.759
PALD1,-0.76
MTCL2,-0.762
UCK2,-0.762
KRABD3,-0.763
GPR156,-0.763
SASH1,-0.764
GALNT2,-0.764
LAD1,-0.766
FCHO2,-0.767
SIPA1L2,-0.767
TAF4,-0.768
LCE2B,-0.768
MLN,-0.768
NUDT16,-0.769
NOXO1,-0.771
HES1,-0.772
CHAF1A,-0.772
SEMA3F,-0.772
FRMD3,-0.773
EGR3,-0.774
GAS6,-0.775
DAGLA,-0.776
HGF,-0.776
ANKRD11,-0.777
MNT,-0.777
PHAF1,-0.777
CYB5R2,-0.778
ATOH8,-0.778
OLIG1,-0.779
SMG1P1,-0.779
CCNG2,-0.779
ALPK1,-0.78
GBE1,-0.781
PDK4,-0.781
WDR13,-0.781
DNAJC13,-0.782
SLITRK4,-0.782
HPR,-0.782
EFCAB11,-0.783
ME2,-0.783
P2RY12,-0.784
STRN4,-0.784
BRSK1,-0.785
RUSC1,-0.785
ZDHHC8,-0.787
SLCO3A1,-0.788
ADORA3,-0.788
MIER2,-0.788
PIK3R2,-0.789
SORT1,-0.789
SHTN1,-0.79
ZNF618,-0.79
ACP2,-0.79
MAN2A2,-0.791
ABCC3,-0.791
GBA2,-0.792
DHTKD1,-0.792
STK36,-0.793
HOXD11,-0.793
PRSS21,-0.794
CIDEA,-0.794
TNK2,-0.795
DLX3,-0.795
SLC18A1,-0.795
BAZ2B,-0.796
MTMR3,-0.796
CLDN14,-0.796
PNPLA6,-0.797
PPFIA1,-0.798
SMG5,-0.798
PCNT,-0.8
OTOR,-0.8
FKBP1A,-0.801
NDST1,-0.802
SDC1,-0.802
PANK2,-0.802
IRX1,-0.803
PUDP,-0.804
RAB7A,-0.804
HSBP1,-0.805
CPEB4,-0.806
PICK1,-0.806
CMTM4,-0.807
GSN,-0.807
CPQ,-0.808
CHMP4B,-0.808
AK4,-0.808
PCK1,-0.808
LAMC1,-0.809
VSIG10,-0.809
PSEN1,-0.809
DENND10P1,-0.81
DNAJC5,-0.811
RNASEK,-0.811
ADIPOQ,-0.811
INKA2,-0.811
KLB,-0.811
RHOB,-0.811
LINC00173,-0.811
IGF2BP3,-0.812
ELOB,-0.812
ATP6V1B2,-0.812
CRHBP,-0.812
NXPH2,-0.813
DCP2,-0.813
CCDC106,-0.813
BSPRY,-0.813
INPP1,-0.814
KCNJ2,-0.815
TRPM2,-0.815
COL5A1,-0.815
TMEM176A,-0.816
GLUL,-0.817
RPS6KA4,-0.817
MXRA8,-0.817
PIWIL4,-0.817
HILPDA,-0.818
PTTG1IP,-0.818
COPA,-0.818
LACC1,-0.82
CUX1,-0.82
SOS2,-0.82
MAP3K21,-0.82
CCL2,-0.82
BOK,-0.821
GOLGA2,-0.821
NT5DC2,-0.821
SUOX,-0.821
CEBPA-DT,-0.821
KREMEN2,-0.821
TMEM105,-0.821
S100A11,-0.822
MAP7D1,-0.823
ARHGAP1,-0.824
NSUN7,-0.824
TM9SF4,-0.824
TMEM86A,-0.824
IL17RC,-0.824
OPA3,-0.825
C1QB,-0.825
C5,-0.825
PPFIBP2,-0.825
SUGP2,-0.826
WIPI2,-0.826
CETP,-0.827
RCVRN,-0.828
OS9,-0.828
REPIN1,-0.828
PLA2G15,-0.828
SLC71A2,-0.828
OSBPL11,-0.828
GHRL,-0.828
COPZ2,-0.829
SLC6A12,-0.83
PLEKHM2,-0.831
PRICKLE1,-0.831
BCAT1,-0.831
PIAS4,-0.831
ALDOA,-0.832
TAGLN,-0.833
ACSL4,-0.833
UBR2,-0.833
CTSK,-0.834
RFX1,-0.835
LPGAT1,-0.835
IQSEC1,-0.835
ANKS1A,-0.835
WLS,-0.835
GNA12,-0.835
EXOSC4,-0.835
NOL3,-0.835
D2HGDH,-0.835
CPNE8,-0.835
ZFAND5,-0.835
ARHGEF10L,-0.835
STK32B,-0.837
CPNE2,-0.837
RAB40C,-0.839
P2RX7,-0.839
C20orf173,-0.839
MYDGF,-0.839
ECE2,-0.84
SNX21,-0.841
TMEM255B,-0.841
GRK3,-0.841
LIN7A,-0.843
MYO7A,-0.845
GPR137,-0.845
SERF2,-0.846
LPAR2,-0.846
PBX3,-0.847
ATP6AP2,-0.847
AIRE,-0.847
MSRB2,-0.847
ECI1,-0.849
RBMS2,-0.85
TRIO,-0.85
CLDN19,-0.85
GMDS,-0.851
GBA1,-0.852
SAMD4A,-0.853
EPS15L1,-0.854
ATP5F1B,-0.855
FAM20A,-0.856
TACC1,-0.857
UBR4,-0.857
GALE,-0.857
ZCCHC24,-0.86
HMGB3,-0.86
ZFYVE26,-0.861
NHS,-0.861
BCL11A,-0.861
MBOAT7,-0.863
LRP1,-0.864
PLD1,-0.864
GYPE,-0.864
QTGAL,-0.864
FADS2,-0.865
CYC1,-0.865
ARID1A,-0.866
SLC33A2,-0.866
NEXN,-0.866
PIGQ,-0.866
FAM43A,-0.868
KATNB1,-0.868
TRAK1,-0.87
SLC25A28,-0.87
SPEF1,-0.87
SH3GL1,-0.87
C4orf33,-0.87
ZNF438,-0.871
RB1,-0.871
HEBP1,-0.871
RBM33,-0.871
ETV7,-0.871
MEGF9,-0.872
SNX27,-0.872
ADGRA2,-0.872
ANAPC11,-0.872
TTYH2,-0.873
CENPB,-0.873
CPD,-0.874
PPARG,-0.874
ANKRD50,-0.874
CNTLN,-0.875
KL,-0.875
PHC2,-0.875
OGFR,-0.875
ADGRE3,-0.875
GGTA1,-0.875
F5,-0.876
PALLD,-0.876
SLC27A1,-0.876
PPM1H,-0.876
EMP1,-0.876
UBXN11,-0.877
LAMP1,-0.878
TMEM191A,-0.878
EVA1B,-0.878
FILIP1L,-0.878
SMAP2,-0.878
SAP30,-0.878
TGOLN2,-0.879
MFSD1,-0.879
EXT1,-0.879
HIC2,-0.879
MS4A4A,-0.879
SLCO4A1,-0.879
ENO1,-0.88
ADCY4,-0.88
TMEM176B,-0.88
PLD3,-0.881
CDC42EP4,-0.882
PAK4,-0.882
LMAN2,-0.882
CTSB,-0.884
RHOU,-0.884
UAP1L1,-0.884
NKD1,-0.884
DAB2,-0.885
TAF8,-0.885
PACSIN2,-0.885
PANK1,-0.885
CCNYL1,-0.886
PPP1R9B,-0.887
CHPT1,-0.887
TMED1,-0.887
SCRIB,-0.888
RASSF2,-0.888
KIF26B,-0.888
STAT2,-0.888
HORMAD1,-0.889
REXO1,-0.89
PLB1,-0.89
ENG,-0.891
APCDD1,-0.891
SLC26A8,-0.891
CHRM4,-0.891
VPS9D1,-0.891
DERL3,-0.891
RRAS,-0.891
TK2,-0.892
PLD2,-0.892
SRF,-0.892
NFAM1,-0.892
MAP3K3,-0.893
TMEM79,-0.893
CNPY3,-0.893
LRPAP1,-0.893
SLC16A6,-0.893
ZYX,-0.894
ENTREP3,-0.894
ACOT9,-0.894
RNF24,-0.895
SNAPC4,-0.895
MPST,-0.895
MAFG,-0.896
GCNT1,-0.896
TMEM121B,-0.896
DVL3,-0.896
SPTLC2,-0.896
SAP25,-0.896
DAPK1,-0.896
SESTD1,-0.897
DMXL2,-0.897
GASK1B,-0.897
SRA1,-0.897
MITF,-0.897
CLEC1A,-0.897
EPN1,-0.898
IGF2R,-0.898
IRS2,-0.898
C1QA,-0.898
IKBIP,-0.898
AIMP2,-0.898
ZNF341,-0.899
LPP,-0.899
GPR162,-0.899
PPP1R3D,-0.899
MFSD2A,-0.899
CRTAP,-0.899
ERICH1,-0.899
C1orf210,-0.899
EIF4E2,-0.899
RSPH3,-0.9
DIAPH2,-0.9
GM2A,-0.9
NID1,-0.9
ETV6,-0.9
IL1R2,-0.9
NCLN,-0.9
PICALM,-0.901
ZNF516,-0.901
ASPHD2,-0.901
FUCA1,-0.901
PEX11G,-0.901
VAMP3,-0.902
SRXN1,-0.902
MTX1,-0.902
GAS7,-0.903
B4GALT5,-0.903
SLC43A3,-0.903
ACVRL1,-0.903
BLTP3B,-0.904
ARHGEF2,-0.904
PSEN2,-0.904
HELZ2,-0.905
PDE6G,-0.905
SH2B3,-0.906
TMEM165,-0.906
CYB5R3,-0.907
LILRA1,-0.907
METTL25B,-0.907
STK3,-0.907
ARRDC4,-0.908
CYBRD1,-0.908
TNFRSF10C,-0.908
HPSE,-0.908
GCNT2,-0.909
DTX2,-0.909
KIAA0930,-0.91
WDR49,-0.91
ZDHHC20,-0.91
LILRB1,-0.91
PLXNC1,-0.91
TMEM11,-0.91
SIRPB2,-0.91
CDC42EP3,-0.91
RCC2,-0.91
DGAT2,-0.91
CFP,-0.91
JAK2,-0.91
NACC2,-0.911
PAQR4,-0.911
ARHGAP27,-0.911
DEF8,-0.912
GRB2,-0.912
CAT,-0.912
SLX4,-0.913
FRAT1,-0.913
ABHD2,-0.913
IRF8,-0.913
UPK3A,-0.914
ACADVL,-0.914
NFKBIE,-0.914
NINJ2,-0.914
PFKFB3,-0.914
LRSAM1,-0.915
NUP62,-0.915
CTSS,-0.915
SPOPL,-0.915
APBB3,-0.915
SWAP70,-0.916
FLT3,-0.916
SMAD6,-0.916
GPER1,-0.916
AKR1D1,-0.916
KIF13A,-0.917
LRP3,-0.917
MEF2C,-0.917
SNAPC2,-0.917
C3AR1,-0.917
MMP25,-0.917
CALML4,-0.917
SOX15,-0.918
RAB11FIP1,-0.918
SUMF1,-0.918
BCL3,-0.919
SLC39A1,-0.919
KCTD15,-0.919
KIF23,-0.919
CMIP,-0.92
SIGLEC7,-0.92
HVCN1,-0.92
APOL4,-0.92
APOBR,-0.921
LRRK1,-0.921
PTGS2,-0.921
AKR1A1,-0.921
RNASE6,-0.921
PDGFC,-0.922
GPAT3,-0.922
HLA-DRB1,-0.922
FZD1,-0.922
TMEM175,-0.922
ABCC6,-0.922
ZNF185,-0.922
SEMA4B,-0.923
AOAH,-0.923
NAGA,-0.923
SLAMF8,-0.923
GNG13,-0.923
PLPPR2,-0.924
GAK,-0.924
NEK6,-0.924
NMNAT1,-0.924
ATPAF2,-0.924
IFFO1,-0.925
LDHAL6A,-0.925
HGS,-0.926
GPR141,-0.926
LILRA3,-0.926
ZC3HAV1L,-0.926
NCKAP5L,-0.927
HLA-DRA,-0.927
UBTD1,-0.927
CMTM2,-0.927
TNFRSF1B,-0.927
TLR2,-0.927
HK2,-0.927
ANXA5,-0.928
KLF11,-0.928
TLR6,-0.928
NR1H3,-0.928
FTL,-0.928
ST3GAL2,-0.929
SHCBP1,-0.929
LGALS3,-0.929
BID,-0.929
INTS1,-0.929
KLF10,-0.93
BASP1,-0.93
SMARCD3,-0.93
MEFV,-0.93
FFAR2,-0.931
SPHK1,-0.931
CLIC4,-0.931
TLR5,-0.931
RAB5IF,-0.931
SERINC2,-0.932
SLC9A1,-0.932
LGALS1,-0.932
CYP27A1,-0.932
NINJ1,-0.932
RP2,-0.932
TMUB2,-0.932
PECAM1,-0.933
CYP2S1,-0.933
CSTA,-0.933
ZNF213,-0.934
AGO4,-0.934
STEAP3,-0.935
SRC,-0.935
RAB13,-0.935
CLEC3B,-0.935
NOTCH1,-0.935
ZMYND15,-0.936
ATOSB,-0.937
VEGFA,-0.937
IL18,-0.938
CR1,-0.938
LAMTOR1,-0.938
TFE3,-0.939
VNN2,-0.939
PYCARD,-0.939
PHF21A,-0.94
VSIG4,-0.94
CYFIP1,-0.94
CXCL10,-0.94
HEXB,-0.94
CLEC4E,-0.94
ARHGEF40,-0.941
MSR1,-0.942
S100P,-0.942
TRPM4,-0.942
ZDHHC7,-0.942
C2,-0.942
TTLL4,-0.942
NEU1,-0.942
USB1,-0.943
SUSD1,-0.943
HIP1,-0.944
CCRL2,-0.944
CLCN7,-0.944
CEBPA,-0.944
PTPN12,-0.944
ATP6V0C,-0.944
ALDH1A1,-0.944
HP,-0.944
TPP1,-0.945
ZFHX3,-0.945
NUMB,-0.945
AATBC,-0.945
RASGRP4,-0.945
CREB5,-0.945
MGST1,-0.945
AIF1,-0.945
SULF2,-0.946
WIPI1,-0.946
ATP6AP1,-0.946
SPHK2,-0.946
CAVIN3,-0.946
SSH3,-0.947
SH2B2,-0.947
NCF4,-0.947
KCTD12,-0.947
FNDC3B,-0.948
APLP2,-0.949
GLB1,-0.949
MBD6,-0.949
LATS2,-0.949
MACROH2A1,-0.949
SIRPA,-0.95
DYSF,-0.95
GRAMD4,-0.95
ALDH2,-0.95
PAPSS2,-0.95
VAV2,-0.95
ST6GALNAC2,-0.95
CPED1,-0.95
CD1A,-0.95
NOD2,-0.95
FOS,-0.95
FGD4,-0.951
TBXAS1,-0.951
RHBDF2,-0.951
ATP6V0A1,-0.951
GAA,-0.951
CD300LB,-0.951
CHP1,-0.951
FBP1,-0.951
TRIM8,-0.952
SRD5A1,-0.952
TMEM127,-0.952
LRP5L,-0.952
CD36,-0.952
TSHZ3,-0.953
SLC22A15,-0.953
PRCP,-0.953
CST3,-0.953
CKAP4,-0.953
RIN2,-0.953
G6PD,-0.953
RAB34,-0.953
FUCA2,-0.954
SLC24A4,-0.954
CHN2,-0.954
HSPA6,-0.954
PLCG2,-0.954
OAF,-0.955
NOTCH2,-0.955
DRAM1,-0.955
MARCKS,-0.955
IGF2BP2,-0.955
HAVCR2,-0.955
SH3TC1,-0.956
ITGAM,-0.956
CLEC4D,-0.956
ZNF746,-0.956
BACH1,-0.956
CLEC7A,-0.956
ZMIZ1,-0.957
CCDC170,-0.957
RRBP1,-0.957
ANKRD22,-0.957
IL15,-0.957
MS4A14,-0.957
OGFRL1,-0.958
FAM124B,-0.958
TTYH3,-0.958
TESC,-0.958
SIL1,-0.958
ZNF385A,-0.959
CLEC4A,-0.959
S100A9,-0.959
RBBP8,-0.959
RNPEP,-0.959
NLRX1,-0.959
FLVCR2,-0.959
TRIOBP,-0.96
OSCAR,-0.96
MYOF,-0.96
GPX1,-0.96
RALB,-0.961
DSC2,-0.961
QSOX1,-0.961
PGD,-0.961
CDKN2B,-0.961
HAL,-0.961
FCGRT,-0.961
TM6SF1,-0.962
UNC93B1,-0.962
PPM1F,-0.962
ARSB,-0.962
SLC66A2,-0.963
SLC12A9,-0.963
NPEPL1,-0.963
SLC7A7,-0.963
OPLAH,-0.963
FCN1,-0.963
TYROBP,-0.963
CLMN,-0.964
AP1B1,-0.964
MCOLN1,-0.964
RNASE2,-0.964
SLC49A3,-0.964
STEAP4,-0.964
LPCAT2,-0.964
BEST1,-0.965
CXCL16,-0.965
FRAT2,-0.965
P2RY2,-0.965
ADAM9,-0.966
NCSTN,-0.966
GK,-0.966
PCTP,-0.966
LACTB,-0.966
TNS3,-0.967
ADAM15,-0.967
GRN,-0.967
ASAH1,-0.967
RNF130,-0.968
PADI4,-0.968
SLC16A5,-0.968
ARSD,-0.968
GSTP1,-0.968
DOCK5,-0.969
JAG1,-0.969
ULK1,-0.969
BPI,-0.969
NPL,-0.969
ASGR2,-0.969
FBN2,-0.969
ANG,-0.97
IMPDH1,-0.97
BST1,-0.97
CTNNA1,-0.971
TBC1D2,-0.971
TCN2,-0.971
CSF1R,-0.971
PRKCD,-0.971
OPRL1,-0.971
ARID3A,-0.972
TRIM7,-0.972
TPD52L2,-0.972
ALOX5,-0.973
LMO2,-0.973
S1PR3,-0.973
MS4A6A,-0.973
TNNI2,-0.973
RIPOR1,-0.974
NIBAN2,-0.974
MPO,-0.974
INPPL1,-0.974
HLX,-0.974
NUP214,-0.974
HNMT,-0.974
TSPAN4,-0.974
RXRA,-0.975
ST14,-0.975
ACTMAP,-0.975
CYP1B1,-0.975
VPS37C,-0.975
YBX3,-0.975
CD93,-0.975
FOLR2,-0.975
GAB2,-0.976
LHFPL2,-0.976
CRISPLD2,-0.976
CD1D,-0.976
EMILIN2,-0.977
ADAP1,-0.977
IMPA2,-0.977
S100A8,-0.977
CLDN23,-0.977
TNFAIP6,-0.977
NECTIN2,-0.977
PRAM1,-0.978
SLC31A2,-0.978
RNF135,-0.979
BCL6,-0.979
LTBR,-0.979
DOCK8-AS1,-0.979
LILRB2,-0.979
ENTPD1,-0.979
TLR7,-0.979
CD300C,-0.979
DENND3,-0.98
ZEB2,-0.98
SEMA4A,-0.98
KCNMB1,-0.98
PYGL,-0.98
CDA,-0.98
FCGR1A,-0.98
S100Z,-0.98
ARHGAP24,-0.981
NLRP12,-0.981
SLC27A3,-0.981
CD163,-0.981
NLRC4,-0.981
ARAP3,-0.981
MAP3K20,-0.982
PLXDC2,-0.982
RBP7,-0.982
FCGR2A,-0.982
LAT2,-0.982
ALDH3B1,-0.983
PLOD1,-0.983
SMCO4,-0.983
MCEMP1,-0.984
CATSPER1,-0.984
ZNF467,-0.984
BCKDK,-0.984
QPCT,-0.984
OSGIN1,-0.984
VCAN,-0.985
CSF3R,-0.985
PSAP,-0.985
ASGR1,-0.985
NFE2,-0.987
ADAMTSL4,-0.987
CEBPD,-0.987
SLC2A9,-0.987
HHEX,-0.987
GBGT1,-0.987
IL13RA1,-0.988
FES,-0.989
RAB31,-0.99
