logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,dir
0.00481298545789862,7.7129864149218,21.2442596458788,2.20644256874896e-90,2.70068570414873e-86,192.67219791321,NAP1L2,up
0.00429757403045104,7.99610954699108,17.6746143195567,5.0452423553748e-65,3.08768832148938e-61,134.404948346667,NEFL,up
0.0103368471498935,6.15894441395665,17.389458085137,3.87318252960588e-63,1.5802584720792e-59,130.075958109713,ZFY,up
0.0196504662903358,5.75716771060504,17.0611754656858,5.37814336158426e-61,1.64571186864478e-57,125.156509824609,TXLNGY,up
-0.00316571368108578,7.13749448008313,-16.1768780255751,2.24215148856043e-55,5.48878684399593e-52,112.255784931301,XKRX,down
0.00386979050547629,7.48082607286699,16.0760472157093,9.48752298272635e-55,1.93545468847618e-51,110.818003583524,LDOC1,up
0.00301915108209123,7.37825162288686,15.5591336912164,1.38580375132385e-51,2.42317684517199e-48,103.556488549001,SEPTIN10,up
0.00420874564555116,6.82859798021898,15.2412082660954,1.11755621953143e-49,1.70986101588309e-46,99.182532560747,CFH,up
0.0028363156441376,7.34847925026348,14.7835054091579,5.48056623440708e-47,7.45357007879363e-44,93.0113214631162,SORCS3,up
0.00315294842484098,7.06245147928174,14.5052688302462,2.20107824596213e-45,2.69411977305765e-42,89.3335425739261,ANKRD18A,up
-0.00357554486549316,7.36341877549089,-14.4227817675928,6.50781982761842e-45,7.24142860818632e-42,88.2540500411555,SULT1B1,down
0.00471424478638717,10.0980414963655,14.2845516931428,3.95884436601093e-44,4.03802125333115e-41,86.4562493057108,SYT11,up
-0.00286436922496489,7.22560271386768,-13.9254619813009,4.03738463600448e-42,3.80135291882268e-39,81.8520160270037,NOG,down
-0.00333241306896256,7.74622653568261,-13.5644321527613,3.83315251212409e-40,3.35127048202849e-37,77.3201968605988,GPA33,down
0.00386453880820048,6.43787008444607,13.4654227664223,1.31350003660268e-39,1.07181602986779e-36,76.0946198873253,GPR15,up
0.00332124872323482,7.9884093665471,13.3138725504728,8.52906881836199e-39,6.52473764604692e-36,74.23315959704,BEX1,up
0.00246711062278222,6.97004036756887,12.9753249225224,5.22876049216218e-37,3.76470755435677e-34,70.1386465907835,DOCK5,up
-0.002590621904991,6.63618998407001,-12.6477879556896,2.57780040173567e-35,1.75290427318025e-32,66.2620819274391,AGRP,down
