gsm,gse,Age,Sex,AgeBin
GSM755303,GSE30453,61,M,"[60,70)"
GSM755408,GSE30453,45,M,"[40,50)"
GSM755409,GSE30453,55,F,"[50,60)"
GSM755410,GSE30453,54,M,"[50,60)"
GSM755411,GSE30453,52,M,"[50,60)"
GSM755412,GSE30453,58,M,"[50,60)"
GSM755413,GSE30453,18,M,"[10,20)"
GSM755414,GSE30453,30,M,"[30,40)"
GSM755415,GSE30453,48,M,"[40,50)"
GSM755416,GSE30453,27,M,"[20,30)"
GSM755417,GSE30453,26,M,"[20,30)"
GSM755418,GSE30453,28,M,"[20,30)"
GSM755419,GSE30453,39,M,"[30,40)"
GSM755420,GSE30453,50,F,"[50,60)"
GSM755421,GSE30453,44,M,"[40,50)"
GSM755422,GSE30453,49,F,"[40,50)"
GSM755423,GSE30453,36,M,"[30,40)"
GSM755424,GSE30453,44,M,"[40,50)"
GSM755425,GSE30453,45,M,"[40,50)"
GSM755426,GSE30453,43,M,"[40,50)"
GSM755427,GSE30453,23,M,"[20,30)"
GSM755428,GSE30453,28,M,"[20,30)"
GSM755429,GSE30453,52,M,"[50,60)"
GSM755430,GSE30453,39,M,"[30,40)"
GSM755431,GSE30453,49,M,"[40,50)"
GSM755432,GSE30453,46,F,"[40,50)"
GSM755433,GSE30453,24,M,"[20,30)"
GSM755434,GSE30453,67,M,"[60,70)"
GSM755435,GSE30453,32,M,"[30,40)"
GSM755436,GSE30453,40,M,"[40,50)"
GSM755437,GSE30453,37,M,"[30,40)"
GSM755438,GSE30453,27,M,"[20,30)"
GSM755439,GSE30453,52,M,"[50,60)"
GSM755440,GSE30453,38,M,"[30,40)"
GSM755441,GSE30453,42,M,"[40,50)"
GSM755442,GSE30453,44,M,"[40,50)"
GSM755443,GSE30453,20,M,"[20,30)"
GSM755444,GSE30453,66,M,"[60,70)"
GSM755445,GSE30453,44,M,"[40,50)"
GSM755446,GSE30453,33,F,"[30,40)"
GSM755447,GSE30453,32,F,"[30,40)"
GSM755448,GSE30453,34,F,"[30,40)"
GSM755449,GSE30453,46,F,"[40,50)"
GSM755450,GSE30453,23,F,"[20,30)"
GSM755451,GSE30453,39,F,"[30,40)"
GSM755452,GSE30453,46,M,"[40,50)"
GSM755453,GSE30453,22,M,"[20,30)"
GSM755454,GSE30453,29,M,"[20,30)"
GSM755455,GSE30453,55,F,"[50,60)"
GSM755456,GSE30453,25,F,"[20,30)"
GSM755457,GSE30453,53,F,"[50,60)"
GSM755458,GSE30453,27,M,"[20,30)"
GSM755459,GSE30453,44,F,"[40,50)"
GSM755460,GSE30453,40,F,"[40,50)"
GSM755461,GSE30453,50,F,"[50,60)"
GSM755462,GSE30453,21,M,"[20,30)"
GSM755463,GSE30453,40,M,"[40,50)"
GSM755464,GSE30453,41,F,"[40,50)"
GSM755465,GSE30453,24,M,"[20,30)"
GSM755466,GSE30453,25,F,"[20,30)"
GSM755467,GSE30453,22,M,"[20,30)"
GSM755468,GSE30453,59,F,"[50,60)"
GSM755469,GSE30453,60,M,"[60,70)"
GSM755470,GSE30453,25,M,"[20,30)"
GSM755471,GSE30453,27,M,"[20,30)"
GSM755472,GSE30453,59,F,"[50,60)"
GSM755473,GSE30453,21,M,"[20,30)"
GSM755474,GSE30453,22,F,"[20,30)"
GSM755475,GSE30453,19,F,"[10,20)"
GSM755476,GSE30453,46,F,"[40,50)"
GSM755477,GSE30453,29,M,"[20,30)"
GSM755478,GSE30453,53,F,"[50,60)"
GSM755479,GSE30453,65,M,"[60,70)"
GSM755480,GSE30453,27,M,"[20,30)"
GSM755481,GSE30453,46,F,"[40,50)"
GSM755482,GSE30453,25,F,"[20,30)"
GSM755483,GSE30453,42,M,"[40,50)"
GSM755484,GSE30453,29,F,"[20,30)"
GSM755485,GSE30453,46,F,"[40,50)"
GSM755486,GSE30453,48,M,"[40,50)"
GSM755487,GSE30453,43,M,"[40,50)"
GSM1147758,GSE47353,24,M,"[20,30)"
GSM1147759,GSE47353,24,M,"[20,30)"
GSM1147760,GSE47353,24,M,"[20,30)"
GSM1147761,GSE47353,24,M,"[20,30)"
GSM1147762,GSE47353,24,M,"[20,30)"
GSM1147763,GSE47353,22,F,"[20,30)"
GSM1147764,GSE47353,22,F,"[20,30)"
GSM1147765,GSE47353,22,F,"[20,30)"
GSM1147766,GSE47353,22,F,"[20,30)"
GSM1147767,GSE47353,22,F,"[20,30)"
GSM1147768,GSE47353,23,M,"[20,30)"
GSM1147769,GSE47353,23,M,"[20,30)"
GSM1147770,GSE47353,23,M,"[20,30)"
GSM1147771,GSE47353,23,M,"[20,30)"
GSM1147772,GSE47353,23,M,"[20,30)"
GSM1147773,GSE47353,22,F,"[20,30)"
GSM1147774,GSE47353,22,F,"[20,30)"
GSM1147775,GSE47353,22,F,"[20,30)"
GSM1147776,GSE47353,22,F,"[20,30)"
GSM1147777,GSE47353,22,F,"[20,30)"
GSM1147778,GSE47353,23,F,"[20,30)"
GSM1147779,GSE47353,23,F,"[20,30)"
GSM1147780,GSE47353,23,F,"[20,30)"
GSM1147781,GSE47353,23,F,"[20,30)"
GSM1147782,GSE47353,23,F,"[20,30)"
GSM1147783,GSE47353,23,M,"[20,30)"
GSM1147784,GSE47353,23,M,"[20,30)"
GSM1147785,GSE47353,23,M,"[20,30)"
GSM1147786,GSE47353,23,M,"[20,30)"
GSM1147787,GSE47353,23,M,"[20,30)"
GSM1147788,GSE47353,23,F,"[20,30)"
GSM1147789,GSE47353,23,F,"[20,30)"
GSM1147790,GSE47353,23,F,"[20,30)"
GSM1147791,GSE47353,23,F,"[20,30)"
GSM1147792,GSE47353,23,M,"[20,30)"
GSM1147793,GSE47353,23,M,"[20,30)"
GSM1147794,GSE47353,23,M,"[20,30)"
GSM1147795,GSE47353,23,M,"[20,30)"
GSM1147796,GSE47353,55,M,"[50,60)"
GSM1147797,GSE47353,55,M,"[50,60)"
GSM1147798,GSE47353,55,M,"[50,60)"
GSM1147799,GSE47353,55,M,"[50,60)"
GSM1147800,GSE47353,55,M,"[50,60)"
GSM1147801,GSE47353,30,F,"[30,40)"
GSM1147802,GSE47353,30,F,"[30,40)"
GSM1147803,GSE47353,30,F,"[30,40)"
GSM1147804,GSE47353,30,F,"[30,40)"
GSM1147805,GSE47353,30,F,"[30,40)"
GSM1147806,GSE47353,22,F,"[20,30)"
GSM1147807,GSE47353,22,F,"[20,30)"
GSM1147808,GSE47353,22,F,"[20,30)"
GSM1147809,GSE47353,22,F,"[20,30)"
GSM1147810,GSE47353,22,F,"[20,30)"
GSM1147811,GSE47353,23,F,"[20,30)"
GSM1147812,GSE47353,23,F,"[20,30)"
GSM1147813,GSE47353,23,F,"[20,30)"
GSM1147814,GSE47353,23,F,"[20,30)"
GSM1147815,GSE47353,23,F,"[20,30)"
